iter	Passed	Remaining
758	96530	666553
759	96661	666458
760	96795	666373
761	96927	666279
762	97061	666202
763	97183	666036
764	97309	665900
765	97431	665737
766	97550	665557
767	97677	665427
768	97806	665315
769	97939	665228
770	98075	665160
771	98211	665087
772	98342	664986
773	98465	664832
774	98586	664666
775	98708	664504
776	98833	664360
777	98962	664246
778	99098	664174
779	99231	664088
780	99367	664015
781	99489	663856
782	99611	663694
783	99731	663517
784	99854	663363
785	99982	663245
786	100116	663161
787	100253	663099
788	100386	663008
789	100520	662928
790	100646	662789
791	100773	662665
792	100905	662566
793	101030	662425
794	101149	662246
795	101274	662098
796	101395	661932
797	101522	661807
798	101652	661696
799	101786	661611
800	101920	661532
801	102053	661437
802	102179	661306
803	102311	661207
804	102437	661068
805	102579	661037
806	102698	660860
807	102823	660714
808	102943	660544
809	103065	660385
810	103192	660256
811	103325	660162
812	103458	660073
813	103595	660006
814	103726	659902
815	103860	659822
816	103999	659769
817	104135	659695
818	104259	659544
819	104378	659363
820	104497	659189
821	104623	659052
822	104749	658919
823	104890	658876
824	105023	658784
825	105158	658707
826	105293	658625
827	105432	658568
828	105564	658475
829	105699	658393
830	105830	658289
831	105965	658206
832	106091	658070
833	106216	657928
834	106338	657771
835	106461	657614
836	106582	657451
837	106710	657327
838	106841	657218
839	106974	657129
840	107107	657038
841	107240	656944
842	107376	656869
843	107500	656722
844	107621	656557
845	107749	656433
846	107871	656273
847	107998	656142
848	108130	656040
849	108260	655932
850	108394	655845
851	108525	655740
852	108660	655657
853	108781	655491
854	108905	655346
855	109025	655169
856	109146	655008
857	109267	654841
858	109387	654671
859	109515	654548
860	109647	654444
861	109778	654338
862	109910	654239
863	110044	654154
864	110184	654098
865	110316	654002
866	110451	653920
867	110576	653775
868	110699	653623
869	110822	653473
870	110942	653302
871	111072	653186
872	111198	653052
873	111330	652952
874	111459	652836
875	111592	652739
876	111724	652637
877	111848	652489
878	111972	652345
879	112094	652183
880	112212	652003
881	112333	651837
882	112453	651670
883	112581	651547
884	112709	651420
885	112840	651318
886	112971	651209
887	113102	651100
888	113240	651037
889	113374	650946
890	113508	650859
891	113640	650759
892	113764	650610
893	113884	650441
894	114005	650279
895	114130	650134
896	114255	649995
897	114380	649855
898	114513	649759
899	114651	649693
900	114781	649581
901	114912	649469
902	115034	649313
903	115156	649157
904	115280	649011
905	115399	648837
906	115518	648661
907	115642	648514
908	115770	648390
909	115897	648259
910	116026	648146
911	116158	648039
912	116288	647931
913	116418	647819
914	116549	647708
915	116686	647635
916	116820	647546
917	116945	647402
918	117067	647245
919	117187	647076
920	117306	646903
921	117424	646728
922	117544	646558
923	117668	646411
924	117793	646273
925	117931	646204
926	118065	646113
927	118200	646029
928	118343	645982
929	118480	645909
930	118615	645823
931	118750	645736
932	118886	645657
933	119020	645563
934	119152	645459
935	119303	645461
936	119427	645318
937	119551	645169
938	119679	645044
939	119807	644922
940	119938	644810
941	120067	644695
942	120199	644589
943	120325	644455
944	120447	644298
945	120569	644143
